category,name
groceries,metro
insurance,apollo
medical,drug
subscriptions,amazon
shopping,winners
shopping,shoppers
shopping,canadiantire
utilities,virgin
utilities,rogers
utilities,hydro
utilities,water
utilities,bell
entertainment,midway
subscriptions,netflix
entertainment,speedway
food,timhortons
food,tim
food,subway
food,waffle
food,dhaba
food,ubereats
transit,ubertrip
subscriptions,uberone
food,table
transit,hotel
transit,presto
transit,enterprise
groceries,foodbasics
groceries,loblaws
groceries,superstore
groceries,kaveri
groceries,supermarket
groceries,dundas
food,chef
food,parantha
payment,payment
transit,parking
food,kitchen
transit,esso
shopping,temu
subscriptions,spotify
subscriptions,prime
subscriptions,apple
subscriptions,icloud
insurance,insurance
leisure,entertainment
